Conference Name,Conference Url,Publication Years,Publication count,Available for Download,Citation count,Downloads (cumulative),Downloads (6 weeks),Downloads (12 months),Average Citation per Article,Average Downloads per Article
CHI: Conference on Human Factors in Computing Systems,https://dl.acm.org/conference/chi,1981 - 2023,"23,513","22,249",495613,"17,591,343","310,402","2,595,584",21,791
CSCW: Computer Supported Cooperative Work,https://dl.acm.org/conference/cscw,1986 - 2022,"3,000","2,724",87010,"2,090,760","16,520","185,897",29,768
UIST: User Interface Software and Technology,https://dl.acm.org/conference/uist,1988 - 2022,"2,628","2,412",74110,"2,045,432","25,529","255,232",28,848
UbiComp: Ubiquitous Computing,https://dl.acm.org/conference/ubicomp,2001 - 2023,"4,052","3,716",60196,"1,568,888","14,401","134,229",15,422
DIS: Designing Interactive Systems,https://dl.acm.org/conference/dis,1995 - 2022,"2,131","2,051",31366,"1,293,978","19,271","228,623",15,631
IUI: Intelligent User Interfaces,https://dl.acm.org/conference/iui,1993 - 2023,"2,487","2,384",30607,"1,143,699","16,780","133,582",12,480
HRI: ACM/IEEE International Conference on Human-Robot Interaction,https://dl.acm.org/conference/HRI,2006 - 2023,"3,228","3,066",30441,"982,546","15,410","155,217",9,320
ICMI: International Conference on Multimodal Interfaces,https://dl.acm.org/conference/ICMI,2002 - 2022,"2,081","1,995",25927,"706,254","8,749","92,918",12,354
MobileHCI: Human Computer Interaction with Mobile Devices and Services,https://dl.acm.org/conference/MobileHCI,2005 - 2022,"1,916","1,824",22352,"855,659","5,627","60,502",12,469
IDC: Interaction Design and Children,https://dl.acm.org/conference/idc,2003 - 2023,"1,646","1,577",17581,"681,228","9,209","83,744",11,432
TEI: Tangible and Embedded Interaction,https://dl.acm.org/conference/tei,2007 - 2023,"1,633","1,557",17578,"702,901","8,643","79,940",11,451
CHI PLAY: Computer-Human Interaction in Play,https://dl.acm.org/conference/chi-play,2014 - 2022,"1,067","1,026",7219,"368,470","6,983","73,189",7,359
C&C: Creativity and Cognition,https://dl.acm.org/conference/c-n-c,1999 - 2023,"1,088","1,005",5530,"362,934","4,818","46,855",5,361
Chinese CHI: Chinese CHI,https://dl.acm.org/conference/chinese-chi,2014 - 2022,126,118,472,"27,804",437,"5,418",4,236
